step_id,source_page,source_order,title,actor,action_summary,card_names,glossary_terms,asset_ids,notes,status
zuko-step-001,3,1,Przygotuj talię Zuko,system,"Znajdź pakiet Zuko Deck / Do Not Shuffle, zdejmij folię i odłóż kartę Do Not Shuffle.",,deck|tutorial,qsg-asset-003,Nie tasować talii przed grą.,identified
zuko-step-002,3,2,Sprawdź zawartość zestawu,system,"Sprawdź, czy masz uporządkowaną talię Zuko, token Soldier 2/2, kość k20, matę i Rules Reference.",Soldier Token,token|life-total,qsg-asset-003,Lista talii na stronie źródłowej służy do odtworzenia kolejności w razie pomyłki.,identified
zuko-step-003,4,3,Ułóż pole gry,both,"Połóż matę, umieść talię zakrytą w strefie Library i ustaw kość na 10 życia.",,library|life-total|battlefield,qsg-asset-004,W aplikacji licznik życia nie jest interaktywny; wartości są częścią instrukcji.,identified
zuko-step-004,4,4,Dobierz siedem kart,zuko-player,"Dobierz siedem pierwszych kart i sprawdź, czy masz Warship Scout, Capital Guard oraz pięć Mountain.",Warship Scout|Capital Guard|Mountain,draw|hand|library,qsg-asset-005,"Jeżeli ręka jest inna, użytkownik powinien odtworzyć kolejność z listy talii.",identified
zuko-step-005,4,5,Poznaj budowę karty,system,"Pokaż, gdzie na karcie znajdują się nazwa, koszt many, typ, pole tekstowe, symbol dodatku oraz atak i obrona.",,card-name|mana-cost|type-line|text-box|power|toughness|expansion-symbol,qsg-asset-006,,identified
zuko-step-006,5,6,Tapowanie i odtapowanie,system,Wyjaśnij obracanie karty o 90 stopni przy użyciu oraz jej odtapowanie na początku tury.,,tap|untap|land|creature|mana,qsg-asset-007,,identified
zuko-step-007,5,7,Cel pierwszej gry,system,"Ustal, że Zuko zaczyna, obaj gracze mają po 10 życia, a gra kończy się, gdy gracz spadnie do 0.",,life-total|first-player|win-condition,qsg-asset-008,W przyszłych grach standardowo zaczyna się z 20 życia.,identified
zuko-step-008,6,8,Zagraj pierwszy ląd,zuko-player,Połóż Mountain z ręki na Battlefield odtapowany.,Mountain,land|battlefield|play,qsg-asset-009,,identified
zuko-step-009,6,9,Rzuć Warship Scout,zuko-player,"Tapnij Mountain, aby uzyskać jedną czerwoną manę, i zagraj Warship Scout.",Warship Scout|Mountain,cast|creature|mana|mana-cost|tap,qsg-asset-009,,identified
zuko-step-010,6,10,Nie atakuj nowym stworem,system,"Wyjaśnij, że Warship Scout nie może atakować w turze, w której został zagrany.",Warship Scout,attack|summoning-sickness|creature,qsg-asset-010,,identified
zuko-step-011,6,11,Przekaż turę,zuko-player,"Powiedz przeciwnikowi, że kończysz turę.",,turn|pass-turn,qsg-asset-010,,identified
zuko-step-012,7,12,Podsumowanie pierwszej tury,system,"Pokaż stan stołu, ręki, życia, biblioteki i cmentarza po pierwszej turze Zuko.",Warship Scout|Mountain|Capital Guard,battlefield|hand|library|graveyard|life-total,qsg-asset-011,,identified
zuko-step-013,7,13,Poczekaj na pierwszą turę Aanga,opponent,Przeciwnik wykonuje pierwszą turę zgodnie ze swoją instrukcją.,,turn,qsg-asset-011,,identified
zuko-step-014,8,14,Rozpocznij drugą turę,zuko-player,"Odtapuj karty, dobierz kartę i zagraj drugi Mountain.",Mountain,untap|draw|land|turn,qsg-asset-012,,identified
zuko-step-015,8,15,Rzuć Capital Guard,zuko-player,"Tapnij dwa Mountain i zagraj Capital Guard, wykorzystując manę czerwoną oraz koszt generyczny.",Capital Guard|Mountain,cast|creature|generic-mana|colored-mana|mana-cost,qsg-asset-012,,identified
zuko-step-016,8,16,Zaatakuj Warship Scout,zuko-player,Zadeklaruj atak Warship Scout i tapnij go.,Warship Scout,attack|tap|combat,qsg-asset-013,,identified
zuko-step-017,9,17,Zadaj obrażenia przeciwnikowi,system,"Warship Scout zadaje 2 obrażenia, zmniejszając życie przeciwnika z 10 do 8.",Warship Scout,combat-damage|power|life-total,qsg-asset-014,,identified
zuko-step-018,9,18,Zakończ drugą turę,zuko-player,Przekaż turę przeciwnikowi.,,pass-turn|turn,qsg-asset-014,,identified
zuko-step-019,10,19,Podsumowanie drugiej tury,system,Pokaż stan stołu po drugiej turze Zuko.,Warship Scout|Capital Guard|Mountain,battlefield|hand|library|graveyard|life-total,qsg-asset-015,,identified
zuko-step-020,10,20,Aang atakuje Wolf Cove Villager,opponent,"Poczekaj, aż przeciwnik zaatakuje Wolf Cove Villager.",Wolf Cove Villager,attack|combat,qsg-asset-015,,identified
zuko-step-021,11,21,Zablokuj Capital Guard,zuko-player,Ustaw Capital Guard przed Wolf Cove Villager jako blokującego.,Capital Guard|Wolf Cove Villager,block|creature|combat,qsg-asset-016,,identified
zuko-step-022,11,22,Rozpatrz wymianę stworów,system,"Oba stwory zadają sobie po 2 obrażenia, zostają zniszczone i trafiają do cmentarzy.",Capital Guard|Wolf Cove Villager,combat-damage|power|toughness|destroy|graveyard|trade,qsg-asset-016,,identified
zuko-step-023,12,23,Rozpocznij trzecią turę,zuko-player,"Odtapuj, dobierz kartę i zagraj Mountain.",Mountain,untap|draw|land,qsg-asset-017,,identified
zuko-step-024,12,24,Rzuć Fire Nation Soldier,zuko-player,Zapłać trzy many i zagraj Fire Nation Soldier.,Fire Nation Soldier|Mountain,cast|creature|generic-mana|mana-cost,qsg-asset-017,,identified
zuko-step-025,12,25,Poznaj haste,system,"Wyjaśnij, że haste pozwala Fire Nation Soldier atakować w turze zagrania.",Fire Nation Soldier,haste|summoning-sickness|attack,qsg-asset-017,,identified
